,5e-05,1e-05,5e-06,1e-06,5e-07,1e-07
precision,0.725,0.6938,0.7187,0.7405,0.6988,0.6948
recall,0.6931,0.7301,0.6816,0.6885,0.7332,0.7301
train_accuracy,0.9803,0.9895,0.9858,0.991,0.9915,0.9912
validation_accuracy,0.7574,0.7479,0.7508,0.7646,0.7518,0.7485
