,5e-05,1e-05,5e-06,1e-06,5e-07,1e-07
precision,0.6955,0.6416,0.6205,0.6349,0.6477,0.6574
recall,0.5513,0.6916,0.7008,0.7132,0.6662,0.6584
train_accuracy,0.9413,0.9683,0.9764,0.9829,0.9816,0.9831
validation_accuracy,0.7062,0.7042,0.6901,0.7032,0.7035,0.7085
