,5e-05,1e-05,5e-06,1e-06,5e-07,1e-07
precision,0.6675,0.6573,0.657,0.6537,0.6315,0.6674
recall,0.653,0.5767,0.5937,0.633,0.67,0.6608
train_accuracy,0.8899,0.9157,0.9258,0.9556,0.9669,0.9812
validation_accuracy,0.7137,0.6917,0.695,0.7009,0.693,0.7154
